시도명,구시군명,선거명,기초의원들
강원,화천군,구시군의원,새누리당 노이업 / 새누리당 이흥일 / 새정치민주연합 최광선 / 새누리당 최진규 / 새누리당 류희상 / 무소속 길종수 / 
강원,화천군,구시군장,새누리당 최문순 / 
강원,화천군,기초의원비례대표,새누리당 박정순 / 
강원,횡성군,구시군의원,새누리당 김은숙 / 새누리당 한창수 / 새정치민주연합 장신상 / 새누리당 표한상 / 새누리당 이대균 / 새정치민주연합 김인덕 / 
강원,횡성군,구시군장,새누리당 한규호 / 
강원,횡성군,기초의원비례대표,새누리당 김영숙 / 
경기,가평군,구시군의원,새누리당 최기호 / 무소속 신현배 / 새누리당 조중윤 / 무소속 김춘배 / 새누리당 이종훈 / 무소속 고장익 / 
경기,가평군,구시군장,무소속 김성기 / 
경기,가평군,기초의원비례대표,새누리당 김금순 / 
경기,고양시덕양구,구시군의원,새누리당 우영택 / 새정치민주연합 윤용석 / 정의당 김혜련 / 새누리당 권순영 / 새정치민주연합 장제환 / 정의당 박시동 / 새누리당 고종국 / 새정치민주연합 유선종 / 새누리당 선재길 / 새정치민주연합 강주내 / 새누리당 이규열 / 새정치민주연합 원용희 / 
경기,고양시덕양구,구시군장,새정치민주연합 최성 / 
경기,고양시덕양구,기초의원비례대표,새누리당 고부미 / 새누리당 김홍두 / 새정치민주연합 조현숙 / 새정치민주연합 김효금 / 
경기,고양시일산동구,구시군의원,새누리당 김미현 / 새정치민주연합 김경희 / 새정치민주연합 이화우 / 새누리당 김영식 / 새정치민주연합 김필례 / 새누리당 이영휘 / 새정치민주연합 소영환 / 
경기,고양시일산서구,구시군의원,새누리당 김완규 / 새정치민주연합 고은정 / 새누리당 이영훈 / 새정치민주연합 김운남 / 새누리당 박상준 / 새정치민주연합 이윤승 / 새누리당 임형성 / 새정치민주연합 이길용 / 
경기,과천시,구시군의원,새누리당 문봉선 / 새정치민주연합 이홍천 / 무소속 안영 / 새누리당 고금란 / 새정치민주연합 윤미현 / 무소속 제갈임주 / 
경기,과천시,구시군장,새누리당 신계용 / 
경기,과천시,기초의원비례대표,새누리당 이수진 / 
경기,광명시,구시군의원,새누리당 김정호 / 새정치민주연합 나상성 / 새누리당 오윤배 / 새정치민주연합 이영호 / 새정치민주연합 고순희 / 새누리당 이병주 / 새정치민주연합 김기춘 / 새정치민주연합 김익찬 / 새누리당 이윤정 / 새정치민주연합 조화영 / 새정치민주연합 정용연 / 
경기,광명시,구시군장,새정치민주연합 양기대 / 
경기,광명시,기초의원비례대표,새누리당 조희선 / 새정치민주연합 이길숙 / 
경기,광주시,구시군의원,새누리당 유지호 / 새정치민주연합 이현철 / 새누리당 소미순 / 새정치민주연합 설애경 / 새누리당 황명주 / 새정치민주연합 박해광 / 새누리당 이문섭 / 새정치민주연합 박현철 / 
경기,광주시,구시군장,새누리당 조억동 / 
경기,광주시,기초의원비례대표,새누리당 현자섭 / 
경기,구리시,구시군의원,새누리당 강광섭 / 새누리당 진화자 / 새정치민주연합 신동화 / 새누리당 장향숙 / 새정치민주연합 민경자 / 새정치민주연합 박석윤 / 
경기,구리시,구시군장,새정치민주연합 박영순 / 
경기,구리시,기초의원비례대표,새정치민주연합 임연옥 / 
경기,군포시,구시군의원,새누리당 이석진 / 새정치민주연합 김동별 / 새누리당 장경민 / 새정치민주연합 주연규 / 새누리당 이희재 / 새정치민주연합 이견행 / 새누리당 홍경호 / 새정치민주연합 박미숙 / 
경기,군포시,구시군장,새정치민주연합 김윤주 / 
경기,군포시,기초의원비례대표,새정치민주연합 성복임 / 
경기,김포시,구시군의원,새누리당 유영근 / 새정치민주연합 노수은 / 새정치민주연합 정왕룡 / 새누리당 권오준 / 새정치민주연합 피광성 / 새누리당 김인수 / 새정치민주연합 신명순 / 새누리당 이진민 / 새정치민주연합 정하영 / 
경기,김포시,구시군장,새정치민주연합 유영록 / 
경기,김포시,기초의원비례대표,새누리당 염선 / 
경기,남양주시,구시군의원,새누리당 이진택 / 새정치민주연합 이철영 / 새정치민주연합 정기홍 / 새누리당 양석은 / 새누리당 이철우 / 새정치민주연합 신민철 / 새누리당 이도재 / 새정치민주연합 이창희 / 새정치민주연합 박유희 / 새누리당 우희동 / 새누리당 원병일 / 새정치민주연합 이창균 / 새누리당 곽복추 / 새정치민주연합 정진춘 / 
경기,남양주시,구시군장,새누리당 이석우 / 
경기,남양주시,기초의원비례대표,새누리당 최옥녀 / 새정치민주연합 박영희 / 
경기,동두천시,구시군의원,새누리당 소원영 / 새누리당 김승호 / 새정치민주연합 이성수 / 새누리당 장영미 / 새누리당 송흥석 / 새정치민주연합 김동철 / 
경기,동두천시,구시군장,새정치민주연합 오세창 / 
경기,동두천시,기초의원비례대표,새누리당 정계숙 / 
경기,부천시소사구,구시군의원,새누리당 이상열 / 새정치민주연합 최성운 / 새정치민주연합 김정기 / 새누리당 서강진 / 새정치민주연합 한선재 / 새누리당 이준영 / 새정치민주연합 김동희 / 
경기,부천시오정구,구시군의원,새누리당 서원호 / 새정치민주연합 이진연 / 새정치민주연합 김관수 / 새누리당 원정은 / 새정치민주연합 최갑철 / 새정치민주연합 서헌성 / 
경기,부천시원미구,구시군의원,새누리당 김한태 / 새정치민주연합 강동구 / 새정치민주연합 정재현 / 새누리당 이형순 / 새정치민주연합 김문호 / 새누리당 한기천 / 새정치민주연합 박병권 / 무소속 윤병국 / 새누리당 방춘하 / 새정치민주연합 임성환 / 새누리당 민맹호 / 새정치민주연합 이동현 / 
경기,부천시원미구,구시군장,새정치민주연합 김만수 / 
경기,부천시원미구,기초의원비례대표,새누리당 김은주 / 새정치민주연합 황진희 / 새정치민주연합 우지영 / 
경기,성남시분당구,구시군의원,새누리당 박영애 / 새정치민주연합 김용 / 새누리당 박광순 / 새정치민주연합 박문석 / 새누리당 이기인 / 새정치민주연합 박종철 / 새누리당 노환인 / 새정치민주연합 권락용 / 새누리당 김윤정 / 새정치민주연합 어지영 / 새누리당 김영발 / 새정치민주연합 조정식 / 새누리당 이제영 / 새정치민주연합 김해숙 / 새정치민주연합 강한구 / 
경기,성남시수정구,구시군의원,새누리당 이덕수 / 새정치민주연합 강상태 / 새누리당 안광환 / 새정치민주연합 윤창근 / 새정치민주연합 최만식 / 새누리당 이상호 / 새누리당 이재호 / 새정치민주연합 정종삼 / 
경기,성남시중원구,구시군의원,새누리당 홍현임 / 새정치민주연합 지관근 / 새누리당 박도진 / 새정치민주연합 박호근 / 새누리당 안극수 / 새정치민주연합 마선식 / 새정치민주연합 김유석 / 
경기,성남시중원구,구시군장,새정치민주연합 이재명 / 
경기,성남시중원구,기초의원비례대표,새누리당 이승연 / 새누리당 박권종 / 새정치민주연합 박윤희 / 새정치민주연합 최승희 / 
경기,수원시권선구,구시군의원,새누리당 민한기 / 새정치민주연합 조명자 / 새누리당 이재식 / 새정치민주연합 장정희 / 새누리당 차긍호 / 새정치민주연합 김정렬 / 새누리당 유재광 / 새정치민주연합 김진우 / 
경기,수원시영통구,구시군의원,새누리당 이재선 / 새정치민주연합 박순영 / 새정치민주연합 양진하 / 새누리당 김기정 / 새정치민주연합 백종헌 / 새정치민주연합 노영관 / 새누리당 정준태 / 새정치민주연합 조석환 / 
경기,수원시장안구,구시군의원,새누리당 홍종수 / 새정치민주연합 한규흠 / 새누리당 김은수 / 새정치민주연합 백정선 / 새누리당 염상훈 / 새정치민주연합 유철수 / 새누리당 심상호 / 새정치민주연합 이종근 / 
경기,수원시팔달구,구시군의원,새누리당 한원찬 / 새누리당 명규환 / 새정치민주연합 김진관 / 새누리당 이혜련 / 새정치민주연합 김미경 / 새정치민주연합 이철승 / 
경기,수원시팔달구,구시군장,새정치민주연합 염태영 / 
경기,수원시팔달구,기초의원비례대표,새누리당 한명숙 / 새누리당 조돈빈 / 새정치민주연합 최영옥 / 새정치민주연합 이미경 / 
경기,시흥시,구시군의원,새누리당 김찬심 / 새누리당 윤태학 / 새정치민주연합 문정복 / 새누리당 조원희 / 새정치민주연합 김태경 / 새누리당 홍지영 / 새정치민주연합 김영철 / 새정치민주연합 장재철 / 새누리당 홍원상 / 새정치민주연합 박선옥 / 
경기,시흥시,구시군장,새정치민주연합 김윤식 / 
경기,시흥시,기초의원비례대표,새누리당 손옥순 / 새정치민주연합 이복희 / 
경기,안산시단원구,구시군의원,새누리당 손관승 / 새정치민주연합 송바우나 / 새정치민주연합 성준모 / 새누리당 김재국 / 새정치민주연합 박은경 / 새누리당 윤석진 / 새정치민주연합 김동수 / 새누리당 신성철 / 새정치민주연합 나정숙 / 
경기,안산시단원구,구시군장,새정치민주연합 제종길 / 
경기,안산시단원구,기초의원비례대표,새누리당 이상숙 / 새정치민주연합 주미희 / 새정치민주연합 김진희 / 
경기,안산시상록구,구시군의원,새누리당 김정택 / 새정치민주연합 김동규 / 새정치민주연합 전준호 / 새누리당 윤태천 / 새정치민주연합 박영근 / 새누리당 이민근 / 새정치민주연합 유화 / 새누리당 홍순목 / 새정치민주연합 정승현 / 
경기,안성시,구시군의원,새누리당 유광철 / 새정치민주연합 황진택 / 새누리당 이영찬 / 새정치민주연합 이기영 / 새누리당 안정열 / 새정치민주연합 신원주 / 새누리당 권혁진 / 무소속 김지수 / 
경기,안성시,구시군장,새누리당 황은성 / 
경기,안성시,기초의원비례대표,새누리당 조성숙 / 
